"chromosome"	"median_l"	"median_i"	"category"
1	2.14199169218973	49.439345004271	"m"
2	2.27122587589142	46.6062385706825	"m"
3	2.45614850399124	44.7063113348671	"m"
4	2.2532181981387	41.3668114114197	"m"
5	2.4099203227668	36.5928218119028	"sm"
6	2.23099607994514	35.0112057992784	"sm"
7	2.58929978577677	32.5114955181775	"sm"
8	2.07829922392607	28.3221236062091	"sm"
9	2.02148891578393	25.1614911351095	"sm"
10	1.88409413742351	15.3820044817666	"st"
11	2.07681585064208	9.20398010536691	"a"
12	2.07610994266527	0	"T"
13	2.03554407982845	0	"T"
14	1.99483166104716	0	"T"
15	1.94984201315435	0	"T"
16	1.89845377766964	0	"T"
17	1.87494569117521	0	"T"
18	1.81994074924508	0	"T"
19	1.79370900758204	0	"T"
20	1.77309143616214	0	"T"
21	1.72089778119717	0	"T"
22	1.69751041166808	0	"T"
23	1.65403361506819	0	"T"
24	1.6021057656813	0	"T"
25	1.51659937817041	0	"T"
