"chromosome"	"median_l"	"median_i"	"category"
1	2.32163888635416	37.7880455105092	"m"
2	2.29541568201138	49.4460296869603	"m"
3	2.26265523553769	38.5820980514056	"m"
4	2.25598114925914	39.5480142311394	"m"
5	2.24582806515676	46.8585881451757	"m"
6	2.18264313275669	41.2055171130536	"m"
7	2.17442037396584	42.5532774818413	"m"
8	2.114558382808	41.7197043221537	"m"
9	2.110991460625	47.7447374038196	"m"
10	2.02524280117885	45.1415659583895	"m"
11	1.96897812164461	44.4524519592797	"m"
12	2.35951730607585	37.104216802217	"sm"
13	2.23310700321524	33.2332851019586	"sm"
14	2.07037081070734	31.8843244403666	"sm"
15	2.06110273458342	30.3869642099828	"sm"
16	2.0073096173102	36.005035894546	"sm"
17	1.94599413564161	34.8275646603453	"sm"
18	1.70538834165452	25.3071192358428	"sm"
19	1.92123572598021	0	"T"
20	1.84327642853675	0	"T"
21	1.75235414276373	0	"T"
22	1.67908852053212	0	"T"
23	1.62624890073513	0	"T"
24	1.51198268841442	0	"T"
25	1.18822966293991	0	"T"
