"chromosome"	"median_l"	"median_i"	"category"
1	2.36296780987896	48.6085691529855	"m"
2	2.27379612343253	45.6598074085909	"m"
3	2.38352731476063	42.678726154952	"m"
4	2.22122249427488	41.0122485639923	"m"
5	2.24039997081991	36.6780785366551	"sm"
6	2.4325190866608	34.6321387408855	"sm"
7	2.3976743477611	33.5393382549471	"sm"
8	2.30692241666374	30.4050181724359	"sm"
9	2.3562282007116	0	"T"
10	2.15459634864188	0	"T"
11	2.09981883758447	0	"T"
12	2.02488141624436	0	"T"
13	1.99885922173733	0	"T"
14	1.97508647153175	0	"T"
15	1.92681330506599	0	"T"
16	1.90717230553265	0	"T"
17	1.86553103786782	0	"T"
18	1.8088127570989	0	"T"
19	1.75399639136936	0	"T"
20	1.6943514374391	0	"T"
21	1.64033021165805	0	"T"
22	1.52068047790291	0	"T"
23	1.39984429004011	0	"T"
24	1.33967364205971	0	"T"
25	1.29260844476276	0	"T"
