0	p1	p2	q1	q2
1	0	0	133.706	125.685
2	63.411	73.299	85.099	86.972
3	0	0	129.472	136.542
4	0	0	147.202	138.543
5	0	0	146.503	134.078
6	63.108	78.24	112.654	104.382
7	72.424	98.396	106.6	95.642
8	0	0	161.735	149.421
9	0	0	124.442	133.415
10	0	0	119.815	125.357
11	0	0	127.29	128.198
12	0	0	116.288	126.415
13	0	0	144.534	142.434
14	0	0	115.573	124.8
15	0	0	98.833	114.77
16	13.601	17.889	111.417	118.341
17	43.708	37	104.95	96.974
18	0	0	138.748	141.32
19	0	0	118.467	119.239
20	78.674	73.308	104.479	111.313
21	0	0	117.736	134.205
22	74.67	79.357	91.034	80.884
23	36.056	39.825	90.446	100.36
24	0	0	168.609	154.577
25	63.288	72.355	132.442	140.772
26	75.411	72.982	99.413	89.46
27	0	0	106.948	124.068
28	0	0	124.574	131.708
29	0	0	126.108	116.941
30	0	0	136.176	129.877
31	0	0	147.102	168.223
32	35.44	49.098	105.7	107.342
33	0	0	135.365	128.437
34	52.676	59.56	85.129	85.574
35	0	0	110.05	114.99
36	0	0	161.345	143.58
37	0	0	115.505	125.504
38	0	0	172.587	157.253
39	16.279	17.088	108.756	118.549
40	69.107	69.013	140.692	120.124
41	68.267	71.329	71.835	81.216
42	0	0	139.952	143.013
43	30.425	37.108	93.037	96.773
44	0	0	127.543	120.109
45	67.232	67.683	88.713	70.113
46	51.264	58.373	100.53	85.447
47	87.339	82.245	88.435	84.175
48	0	0	132.393	102.152
49	0	0	118.279	129.239
50	59.526	64.447	96.958	97.72
