	p1	p2	q1	q2
1	89.774	72.049	82.351	82.898
2	46.69	48.508	115.446	128.025
3	54.245	49.043	106.8	106.375
4	71.007	70.831	129.549	131.215
5	19.235	21	131.561	112.297
6			157.988	156.698
7			138.816	151.011
8			112.205	112.952
9			120.375	106.213
10			126.183	135.93
11	23.022	20.248	168.543	188.777
12			127.946	136.2
13			120.808	133.635
14	93.076	96.876	103.585	106.158
15	80.616	79.817	89.889	86.267
16	20.248	25	113.665	117.924
17			138.188	130.938
18			125.32	141.336
19			159.358	144.903
20			131.171	133.989
21			155.843	150.161
22			148.931	138.436
23	53.759	68.884	133.204	111.517
24	45.398	39.446	102.284	108.97
25	77.421	65.855	85.429	80.798
26	28	30.594	140.743	140.096
27			151.735	182.037
28			154.79	143.776
29			132.632	137.541
30			149.237	148.551
31			155.869	155.035
32			122.042	118.139
33			120.422	130.645
34			160.05	132.441
35			139.229	134.838
36	65.321	66.357	144.699	149.22
37	93.188	87.013	84.542	98.105
38	42.048	45.398	118.87	117.388
39	79.635	72.691	88.181	93.164
40			118.29	145.689
41			112.267	129.889
42			119.113	125.613
43			105.169	125.849
44	66.708	72.125	131.182	118.794
45	59.363	67.779	94.856	110.883
46	69.354	75.968	92.704	100.965
47	73.239	71.344	171.095	150.991
48	74.813	78.018	110.896	92.421
49	29.069	28.844	118.097	125.017
50			120.551	137.359
