0	p1	p2	q1	q2
1	52.974	43.757	84.956	76.413
2	45.011	46.174	74.733	80.779
3	0	0	101.212	103.824
4	21.095	23.087	39.357	46
5	0	0	83.008	88.685
6	21.213	22.825	40.608	53.666
7	0	0	86.128	84.291
8	0	0	81.498	88.73
9	65.765	53.759	72.007	83.235
10	46.69	47.424	73.75	82.061
11	0	0	78.861	81.541
12	41.437	42.755	79.202	75.396
13	32.311	42.154	62.65	67.956
14	41.773	43.012	48.01	51.662
15	40.804	33.734	53.666	57.495
16	0	0	89.553	73.157
17	31.828	48.918	47.802	68.884
18	30.463	20.224	67.742	82.347
19	15	29.12	91.228	86.552
20	0	0	76.007	86.4
21	30.232	25.807	64.008	73.756
22	51.01	47.17	63.593	68.122
23	35.847	34.176	82.943	76.683
24	0	0	77.621	73.055
25	48.6	45.1	69.929	68.445
26	0	0	64.9	64.9
27	0	0	80.846	121.201
28	0	0	94.202	130.838
29	40.792	48.877	65.605	68.857
30	50	44.407	84.11	83.688
31	41.049	41.231	75.65	72.811
32	70.007	50.21	70.178	60.605
33	58.873	52.811	72.205	77.886
34	0	0	64.405	61.098
35	29.017	27	73.656	66.357
36	50.12	47	86.533	78.411
37	28.16	51.614	32.65	60.208
38	23.022	33.287	60.208	72.18
39	0	0	85.884	92.195
40	0	0	98.182	105.392
41	54.453	26.476	75.666	69.227
42	34.059	42.202	60.836	64.382
43	0	0	81.566	98.899
44	28	21.19	60.008	58.052
45	42.755	43.566	71.021	59.034
46	28.425	36.797	56.586	68.884
47	66.708	53.151	123.814	137.414
48	42.202	49.649	82.508	80.129
49	18.439	23.77	63.151	65.368
50	29.53	20.396	52.802	56.223
