	p1	p2	q1	q2
1	23.022	28.792	31.385	31.78
2	28.178	25	28.208	30.054
3	26.173	26.173	34.409	29.184
4	30.48	25.612	27.803	30.871
5	27.857	25.08	30.48	34.059
6	25.612	29.069	27.785	28.302
7	25.942	21.19	30.083	28.636
8	21.095	22.472	27.203	30.716
9	23.707	21.587	31.89	36.125
10	23.324	24.739	33.242	34.409
11	20.616	21.19	21.541	25.554
12	22.825	20.616	22.472	25.807
13	22.804	20.616	24.166	25.15
14	20.248	19.647	21.19	26.926
15	16.971	22.023	26.833	26.401
16	21.213	19.723	24.413	24.413
17	15.811	15.652	23.087	21.932
18	16.401	14.422	20.616	22.825
19	12.53	13.038	22.472	21.471
20	17.692	14.213	24.759	20.616
21	16.401	15.62	21.932	22.825
22	12.207	12.207	16.763	22.672
23	22.472	19.723	32.558	36.401
24	20.809	21.471	32.65	42.544
25	20.125	20.616	36.62	38.275
26	19.849	17.464	33.015	41.617
27	23.324	20.616	31.623	33.106
28	8.062	8.602	40.792	40.608
29	17.205	17.205	35.777	33.106
30	18.358	17.464	28.425	31.78
31	13.454	11.705	29.732	28.46
32	11.314	9.849	26.566	27.659
33	13.038	12.083	21.541	21.095
34	15.62	13	22.472	25.942
35	12.042	10.44	26.401	29
36	16.971	13	23.431	28.32
37			52.555	47.854
38			46.487	43.681
39			46.69	52.7
40			36.056	36.688
41			32.802	41.037
42			33.422	32.249
43			37.483	39.812
44			40.38	39.234
45			38.5	34.059
46			32.558	32.016
47			23.77	25.71
48			20.518	20.396
49			33.615	33.838
50			27.659	28.443
