	p1	p2	q1	q2
1	64.774	73.79	98.911	101.234
2			143.852	116.891
3	21.471	25.08	96.388	123.065
4			88.026	92.65
5	22.825	20.518	114.905	112.404
6			101.885	107.218
7	21.024	15.297	90.566	90.029
8	28.16	31.321	62.129	70.774
9			98.98	125.959
10			95.189	100.044
11	29.833	30.806	91.22	101.951
12			154.871	133.66
13			128.355	110.225
14			103.947	99.351
15			67.082	66.843
16			62.769	86.341
17			79.398	79.649
18	14.866	9.22	90.507	82.855
19	42.485	35.114	62.482	62.817
20	35.693	34.785	70.576	82.928
21			104.847	91.679
22			85.212	80.808
23			78.435	74.733
24			97.082	76.059
25			97.26	93.606
26			85.703	93.295
27			96.385	118.616
28			113.811	134.224
29	32.757	25.239	96.213	96.232
30			77.601	74.47
31			73.945	62.61
32			95	101.257
33			125.09	113.864
34			126.945	112.659
35			82.891	89.817
36			87.645	95.739
37	28.231	33.956	83.355	95.425
38	37.054	36.346	69.584	75.06
39	30	24.166	67.676	81.345
40			72.201	71.561
41	20.518	17	65.947	64.815
42			67.417	68.949
43			66.129	56.089
44	34.713	27.459	87.476	84.9
45	53.852	47.424	63.506	49.769
46	43.174	31.145	59.792	55.714
47	58.052	64.637	67.956	58.31
48			128.035	138.259
49			53.085	60.926
50			105.304	89.822
