0	p1	p2	q1	q2
1	42.72	55.145	80.493	94.069
2	44.721	45.222	97.082	112.225
3	0	0	60.407	62.37
4	0	0	60.638	62.65
5	0	0	93.622	95.79
6	0	0	96.895	90.934
7	0	0	69.857	73.437
8	7.211	16.155	56.886	57.009
9	0	0	59.908	58.941
10	0	0	101.215	100.846
11	0	0	75.604	82.42
12	0	0	103.446	104.561
13	0	0	90.25	106.645
14	0	0	77.233	67.209
15	0	0	90.05	91.049
16	0	0	96.911	99.813
17	0	0	67.446	91.706
18	0	0	83.744	95.682
19	0	0	84.812	86.567
20	36.139	43.29	104.768	117.72
21	0	0	87.006	95.802
22	0	0	87.316	85.44
23	46.53	41.4	72.062	60.216
24	0	0	80.006	80.895
25	0	0	69.289	57.983
26	0	0	50.249	53
27	0	0	79.158	90.427
28	0	0	57.14	60.745
29	0	0	86.267	83.409
30	31.906	30.232	48.083	50.21
31	0	0	88.074	67.231
32	46.141	34	69.376	72.028
33	0	0	83.259	88.527
34	22.472	18.868	59.414	41.195
35	0	0	112.777	99.359
36	0	0	70.178	61.685
37	0	0	63.561	58.523
38	0	0	71.868	80.808
39	0	0	57.723	55.946
40	0	0	54.332	62.394
41	30.265	23.77	37.162	49.497
42	0	0	92.178	88.955
43	41.437	47.011	69.065	85.586
44	0	0	85.703	83.235
45	41.881	33.601	69.311	65.299
46	37.121	32.016	58.034	44.553
47	28.284	18.028	81.468	82.807
48	18.385	19.799	77.078	65.437
49	29.411	34.928	67.186	71.554
50	36.674	42.379	88.364	91.285
