	p1	p2	q1	q2
1	28.302	26.077	31.241	32.249
2	18.439	19.105	35.468	34.986
3	20.616	22.472	26.926	25
4	23.431	21.954	25.495	23.77
5	17.493	17.493	23.77	23.324
6	20	17.692	26.926	23.022
7	19.209	20	18.868	20.616
8	17.493	17.029	21.401	20.809
9	16.401	16.643	38.484	34.928
10	16.279	17.029	31.385	32.894
11	16.401	16.553	33.541	33.526
12	17.205	17	34.409	30.529
13	18.385	16.401	26	24.042
14	15	14.318	27.313	27.203
15	13.454	12.649	27.295	29.318
16	16.401	16.401	24.352	28.302
17			52.924	47.539
18			44.643	44.643
19			47.885	46.325
20			43.966	40.719
21			40.497	38.484
22			41	41.976
23			41.437	42.72
24			42.755	43.681
25			39.294	43.417
26			40.792	41.485
27			34.655	38.419
28			41.231	41
29			42.202	41.485
30			40.447	39.85
31			37.483	33.971
32			38.013	36.359
33			39.294	39.812
34			40.447	43.966
35			38.079	38.471
36			39.294	35.44
37			38.897	38.897
38			26.926	37.162
39			38.897	38.833
40			37.656	39.395
41			39.408	36.359
42			36.674	36.359
43			35.384	33.422
44			32.558	30.414
45			39.395	33.541
46			34.986	33.601
47			38.328	36.139
48			41.485	38.328
49			38.626	36.125
50			36.401	33.526
