0	p1	p2	q1	q2
1	28.302	26.077	31.241	32.249
2	18.439	19.105	35.468	34.986
3	20.616	22.472	26.926	25
4	23.431	21.954	25.495	23.77
5	17.493	17.493	23.77	23.324
6	20	17.692	26.926	23.022
7	19.209	20	18.868	20.616
8	17.493	17.029	21.401	20.809
9	16.401	16.643	38.484	34.928
10	16.279	17.029	31.385	32.894
11	16.401	16.553	33.541	33.526
12	17.205	17	34.409	30.529
13	18.385	16.401	26	24.042
14	15	14.318	27.313	27.203
15	13.454	12.649	27.295	29.318
16	16.401	16.401	24.352	28.302
17	0	0	52.924	47.539
18	0	0	44.643	44.643
19	0	0	47.885	46.325
20	0	0	43.966	40.719
21	0	0	40.497	38.484
22	0	0	41	41.976
23	0	0	41.437	42.72
24	0	0	42.755	43.681
25	0	0	39.294	43.417
26	0	0	40.792	41.485
27	0	0	34.655	38.419
28	0	0	41.231	41
29	0	0	42.202	41.485
30	0	0	40.447	39.85
31	0	0	37.483	33.971
32	0	0	38.013	36.359
33	0	0	39.294	39.812
34	0	0	40.447	43.966
35	0	0	38.079	38.471
36	0	0	39.294	35.44
37	0	0	38.897	38.897
38	0	0	26.926	37.162
39	0	0	38.897	38.833
40	0	0	37.656	39.395
41	0	0	39.408	36.359
42	0	0	36.674	36.359
43	0	0	35.384	33.422
44	0	0	32.558	30.414
45	0	0	39.395	33.541
46	0	0	34.986	33.601
47	0	0	38.328	36.139
48	0	0	41.485	38.328
49	0	0	38.626	36.125
50	0	0	36.401	33.526
