0	p1	p2	q1	q2
1	37.121	51.142	70.235	71.032
2	0	0	109.229	110.556
3	0	0	114.035	120.85
4	0	0	138.192	145.447
5	47.676	76.77	80.479	77.147
6	0	0	142.804	131.855
7	0	0	146.98	121.509
8	0	0	122.631	130.169
9	18.028	25.942	93.814	107.572
10	7.616	7.616	99.968	101.862
11	93.01	71.989	88.869	91.464
12	0	0	99.986	94.096
13	0	0	111.973	112.534
14	0	0	117.457	106.014
15	0	0	125.908	124.314
16	0	0	104.532	108.721
17	63.355	54.975	97.053	93.451
18	13.342	16.643	106.429	93.812
19	63.65	65.688	67.216	68.398
20	0	0	89.012	107.399
21	36.674	65.605	120.89	113.273
22	0	0	101.097	108.951
23	41.437	55.706	96.14	79.463
24	34.132	36.125	83.385	88.408
25	20.025	20.1	99.142	101.101
26	34.67	28.32	79.926	84.633
27	0	0	115.209	121.041
28	0	0	132.947	144.138
29	0	0	110.622	127.558
30	64.028	82.353	61.446	85.208
31	53.506	58.821	88.804	70.078
32	0	0	112.894	120.21
33	0	0	85.239	88.206
34	0	0	94.72	96.361
35	54.095	46.065	82.044	77.919
36	66.666	73.698	68.359	72.217
37	0	0	100.518	101.178
38	50.01	58.514	109.186	97.89
39	39.699	31.145	92.195	86.4
40	0	0	125.347	144.242
41	0	0	134.762	132.5
42	0	0	111.364	113.505
43	59.235	70.395	64.637	69.674
44	50.09	62.476	114.845	112.313
45	0	0	93.56	85.934
46	0	0	110.582	109.686
47	0	0	74.707	89.872
48	0	0	111.815	96.55
49	70.845	75.007	86.51	82.498
50	0	0	109.798	115.534
