0	p1	p2	q1	q2
1	28.284	28.425	143.388	136.015
2	78.435	82.16	91.285	107.537
3	72.339	70.838	139.917	148.203
4	0	0	101.629	99.506
5	90.893	71.668	113.123	124.138
6	68.118	60.745	95.795	94.847
7	75.487	55	135.029	130.785
8	80.062	78.772	122.32	141.43
9	65.382	68.6	142.695	155.541
10	31.401	43.012	103.16	116.974
11	84.723	85.33	100.854	109.659
12	74.041	65.513	76.267	65.368
13	66.098	68.359	80.06	95.022
14	0	0	146.277	126.274
15	51.486	59.444	90.649	106.789
16	63.482	56.543	83.361	88.363
17	0	0	126.242	131.947
18	66.593	54.015	90.655	75.111
19	81.156	107.042	110.315	101.926
20	0	0	153.931	139.635
21	0	0	145.804	141.711
22	0	0	115.798	114.446
23	42.629	46.69	100.825	89.948
24	0	0	180.324	206.977
25	55.468	72.928	85.641	95.801
26	86.977	71.281	117.656	125.972
27	25.298	21.591	122.698	112.466
28	78.715	63.285	92.201	96.818
29	94.866	78.615	70.837	109.39
30	78.492	77.318	108.378	133.135
31	0	0	138.618	159.435
32	98.407	94.255	105.317	130.616
33	0	0	181.046	173.381
34	58.712	60.488	114.602	113.015
35	50	44.598	122.919	127.769
36	84.044	62.828	154.538	151.358
37	0	0	169.759	205.967
38	0	0	154.844	125.969
39	83.175	71.512	86.006	83.726
40	119.105	128.81	133.259	119.512
41	52.431	55.666	94.048	100.623
42	0	0	157.194	153.474
43	77.236	57.871	132.034	123.26
44	87.586	68.593	122.825	118.106
45	80.995	122.391	112.371	129.905
46	59.093	71.589	147.308	138.231
47	93.703	108.268	108.5	117.621
48	101.23	86.31	138.636	140.41
49	0	0	167.373	158.26
50	69.857	113.469	146.5	62.586
