	p1	p2	q1	q2
1			162.414	153.359
2			144.87	134.858
3	51.971	57.315	99.777	83.927
4	76.942	85.08	121.541	150.709
5	72.092	65.949	112.258	96.519
6	59.093	49.193	89.107	92.225
7			141.103	153.891
8	50.949	63.53	81.024	81.373
9	64.498	65.115	123.033	132.019
10	81.345	73.6	74.267	80.913
11	42.426	48.6	120.346	118.081
12			124.928	148.033
13	81.049	63.573	114.293	127.986
14	93.226	88.6	91.957	121.023
15	83.554	95.712	100.857	99.672
16	72.536	78.979	123.698	134.231
17			92.005	100.285
18			80.056	89.047
19			121.652	133.989
20			136.072	133.152
21	62.801	57.14	87.321	89.805
22	22.825	19.209	150.118	148.863
23	42.059	46.239	93.349	107.844
24	72.801	76.476	115.837	110.343
25	52.086	59.363	111.021	114.977
26	25.298	21.84	87.736	74.525
27	72.801	65.307	77.17	68.469
28			122.886	152.368
29	73.573	62.04	94.114	79.012
30			110.571	113.302
31			137.457	142.678
32	63.246	69.354	111.913	115.66
33	80.138	73.055	111.27	125.897
34	67.479	68.184	86.085	81.842
35	65.192	64.951	79.31	63.063
36	66.31	52.953	108.464	114.363
37	75	84.119	115.017	104.88
38	55.109	46.271	91.175	107.381
39			130.644	112.027
40	64.008	68.118	80.411	82.948
41	55.227	51.352	119.219	117.241
42	70.264	69.231	87.851	94.395
43	77.253	74.216	103.818	107.395
44	64.661	49.254	107.807	137.444
45	45.541	50.09	97.966	104.547
46	73.348	65.552	112.009	117.648
47	94.412	100.281	102.584	110.599
48			125.552	136.842
49	62.586	71.457	88.649	64.622
50	33.529	28.806	96.609	90.88
