	p1	p2	q1	q2
1	26.926	27.295	38.183	38.828
2	22.204	18.974	43.174	39.115
3	26.306	30.716	30.854	30.975
4	31.623	29.411	32.027	33.385
5	25.632	25.98	32.311	38.753
6	24.352	24.187	34.402	33.527
7	21.86	22.668	36.728	34.544
8	24.083	23.854	33.601	40.224
9	21.296	23.449	30.881	35.624
10	22.825	22.136	32.5	39.285
11	19.698	18.788	38.079	36.297
12	23.783	30.48	30.77	30.676
13	25.239	20	29.763	33.654
14	19.698	20.248	28.248	28.595
15	19.698	21.024	26.926	28.601
16	20.248	21.26	27.203	26.908
17	25.495	20.809	22.804	24.698
18	25.456	24.352	23.707	27.203
19	22.023	18.439	27.203	26.401
20	26.359	23.601	21.954	29.084
21	19.723	18.358	23.294	28.46
22	20	16.401	24.083	24.042
23	21.928	22.434	43.324	47.724
24	22.472	23.324	40.704	41.823
25	18.868	21.024	30.083	44.699
26	19.925	19.723	38.828	40.456
27	20.616	22.472	37.804	42.404
28	21.471	23.022	38.2	40.136
29	24.352	19.723	33.22	35.402
30	17	19.723	29.069	32.62
31	14.765	17.889	34.651	35.645
32	15.264	18.868	25.942	31.702
33	16.401	16.492	30.881	33.016
34	17.493	17.889	25	25.807
35	14.422	13.892	28.284	29.888
36	14.142	12.806	21.541	25.06
37			52.137	54.554
38			41.773	55.225
39			46.181	46.728
40			48.044	45.891
41			46.811	41.387
42			35.171	38.471
43			40.05	44.401
44			40.05	40.792
45			39.495	44.547
46			37.696	36.591
47			43.788	38
48			40.452	41.446
49			35.775	37.59
50			25.807	24.839
