	p1	p2	q1	q2
1			81.939	82.377
2			88.204	65.742
3	21.26	24.207	71.589	61.556
4			77.369	89.443
5			72.567	66.008
6			79.404	86.078
7			89.157	87.361
8			78.16	75.802
9			89.051	82.219
10			78.549	81.006
11			108.617	99.156
12	29.53	26.627	53.6	57.219
13			56.303	73.539
14	25.456	23.854	44.654	45.453
15			73.498	68.6
16	23.345	23.087	61.27	58.241
17	49.82	52.924	59.464	57.183
18	33.106	33.242	69.065	65.795
19	24.042	22.561	46.174	45.31
20			61.685	66.851
21			68.411	72.028
22			65.192	58.249
23	27.313	25.71	40.853	41.195
24	34.713	33.242	80.92	78.339
25			73.824	79.228
26			73.812	90.211
27			79.931	66.843
28			85.983	76.688
29	41	45.541	43.417	51.884
30	37.802	29.069	43.324	40.792
31	26.077	29.12	76.857	88.685
32			80.498	78.409
33			109.385	117.098
34	22.561	25.554	62.201	62.177
35			80.006	81.216
36			70.264	64.133
37			82.735	72.062
38	29.206	29.547	51.865	50.774
39			80.212	99.247
40			99.328	95.692
41			72.801	75.392
42			108.856	100.568
43			91.924	76.837
44			92.005	84.22
45	37.483	30.017	46.84	58.549
46	38.053	43.139	52.01	55.172
47	20.248	21.401	62.073	77.621
48			64.413	71.309
49			48.01	54.129
50			75.538	65.795
