0	p1	p2	q1	q2
1	37.336	37.947	59.439	57.28
2	42.202	46.174	72.007	79.528
3	0	0	81.253	62.682
4	0	0	91.471	92.849
5	0	0	87.966	75.505
6	24.839	35.128	55.543	72.993
7	0	0	83.63	94.726
8	20.224	14.866	95.649	83.235
9	35.777	35.468	91.526	99.086
10	32.45	40.311	68.447	74.027
11	0	0	105.575	99.569
12	0	0	105.686	96.047
13	0	0	73.41	84.205
14	27.166	43.012	94.579	93.295
15	0	0	68.476	85.51
16	0	0	82.462	80.281
17	0	0	78.772	74.303
18	0	0	62.968	66.129
19	0	0	79.649	72.007
20	34.015	32.527	59.481	66.483
21	0	0	87.846	86.313
22	0	0	95.415	88.752
23	48.104	44.045	55.902	68
24	41.231	44.011	95.189	100.578
25	0	0	61.033	64.031
26	0	0	92.914	96.338
27	0	0	92.704	107.935
28	0	0	101.4	96.4
29	24.042	15	75.538	76.609
30	53.235	50.249	67.082	71.589
31	29.732	29.411	34.828	36.674
32	0	0	66.038	56.859
33	25.495	19.849	47.011	51.662
34	0	0	105.721	112.709
35	46.573	46.174	68.25	70.661
36	0	0	89.889	89.471
37	0	0	112.259	110.018
38	0	0	55.902	64.203
39	0	0	49.518	58.83
40	0	0	94.021	89.376
41	51.039	38.949	82.275	82.235
42	0	0	59.54	69.116
43	0	0	108.45	112.228
44	0	0	66.483	53.488
45	0	0	86.331	71.063
46	28	24.515	71.309	94.895
47	65.376	48.384	82.565	69.814
48	25.318	27.514	66.625	63.253
49	27.459	16.125	57.465	44.922
50	0	0	86.833	97.35
