0	p1	p2	q1	q2
1	24.13	25.831	33.074	23.324
2	23.648	25.495	24.13	28.844
3	20.156	22.594	24.413	24.668
4	16.508	29.732	19.912	27.336
5	23.335	17.241	22.344	29.3
6	19.039	18.2	21.219	24.418
7	19.602	24.759	20.506	26.173
8	20.94	21.319	20.18	23.324
9	18.118	15.403	39.233	39.846
10	17.734	17.219	33.534	32.882
11	21.639	18.035	33.022	32.001
12	18.337	14.841	29.9	29.914
13	16.14	12.207	25.544	28.797
14	17.414	14.213	25.739	26.077
15	19.092	13.829	22.594	22.589
16	50.496	47.424	50.003	47.979
17	0	0	50.004	49.819
18	0	0	47.821	43.412
19	0	0	44.879	44.959
20	0	0	49.015	45.796
21	0	0	38.685	40.697
22	0	0	38.897	40.14
23	0	0	41.716	38.685
24	0	0	39.887	40.71
25	0	0	42.406	35.641
26	0	0	35.673	35.468
27	0	0	46.629	47.099
28	0	0	46.057	41.908
29	0	0	38.21	35.924
30	0	0	38.768	39.925
31	0	0	41.488	39.315
32	0	0	42.077	38.539
33	0	0	37.473	34.058
34	0	0	27.681	38.994
35	0	0	40.512	42.5
36	0	0	39.386	37.696
37	0	0	41.431	38.939
38	0	0	39.239	39.67
39	0	0	39.74	36.28
40	0	0	40.357	42.131
41	0	0	27.735	37.911
42	0	0	34.205	32.65
43	0	0	38.685	37.792
44	0	0	38.03	34.54
45	0	0	36.503	35.384
46	0	0	27.902	33.444
47	0	0	36.149	36.325
48	0	0	37.696	34.033
49	0	0	30.806	25.239
50	0	0	30.434	34.482
